#ies_format_version: 1.0
#file: 20250808_4000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 4.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	holding1;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
#005;	holding2;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
YYYYMMDD;	hhmmss;	unixtimestamp;	holding1;	holding2
20250808;	113028;	1754632828.000;	        err8;	        err8
20250808;	113032;	1754632832.000;	        err8;	        err8
20250808;	113036;	1754632836.000;	        err8;	        err8
20250808;	113040;	1754632840.000;	        err8;	        err8
20250808;	113044;	1754632844.000;	        err8;	        err8
20250808;	113048;	1754632848.000;	        err8;	        err8
20250808;	113052;	1754632852.000;	        err8;	        err8
20250808;	113056;	1754632856.000;	        err8;	        err8
20250808;	113100;	1754632860.000;	        err8;	        err8
20250808;	113104;	1754632864.000;	        err8;	        err8
20250808;	113108;	1754632868.000;	        err8;	        err8
20250808;	113112;	1754632872.000;	        err8;	        err8
20250808;	113116;	1754632876.000;	        err8;	        err8
20250808;	113120;	1754632880.000;	        err8;	        err8
20250808;	113124;	1754632884.000;	        err8;	        err8
20250808;	113128;	1754632888.000;	        err8;	        err8
20250808;	113132;	1754632892.000;	        err8;	        err8
20250808;	113136;	1754632896.000;	        err8;	        err8
20250808;	113140;	1754632900.000;	        err8;	        err8
20250808;	113144;	1754632904.000;	        err8;	        err8
20250808;	113148;	1754632908.000;	        err8;	        err8
20250808;	113152;	1754632912.000;	        err8;	        err8
20250808;	113156;	1754632916.000;	        err8;	        err8
20250808;	113200;	1754632920.000;	        err8;	        err8
20250808;	113204;	1754632924.000;	        err8;	        err8
20250808;	113208;	1754632928.000;	        err8;	        err8
20250808;	113212;	1754632932.000;	        err8;	        err8
20250808;	113216;	1754632936.000;	        err8;	        err8
20250808;	113220;	1754632940.000;	        err8;	        err8
20250808;	113224;	1754632944.000;	        err8;	        err8
20250808;	113228;	1754632948.000;	        err8;	        err8
20250808;	113232;	1754632952.000;	        err8;	        err8
20250808;	113236;	1754632956.000;	        err8;	        err8
20250808;	113240;	1754632960.000;	        err8;	        err8
20250808;	113244;	1754632964.000;	        err8;	        err8
20250808;	113248;	1754632968.000;	        err8;	        err8
20250808;	113252;	1754632972.000;	        err8;	        err8
20250808;	113256;	1754632976.000;	        err8;	        err8
20250808;	113300;	1754632980.000;	        err8;	        err8
20250808;	113304;	1754632984.000;	        err8;	        err8
20250808;	113308;	1754632988.000;	        err8;	        err8
20250808;	113312;	1754632992.000;	        err8;	        err8
20250808;	113316;	1754632996.000;	        err8;	        err8
20250808;	113320;	1754633000.000;	        err8;	        err8
20250808;	113324;	1754633004.000;	        err8;	        err8
20250808;	113328;	1754633008.000;	        err8;	        err8
20250808;	113332;	1754633012.000;	        err8;	        err8
20250808;	113336;	1754633016.000;	        err8;	        err8
20250808;	113340;	1754633020.000;	        err8;	        err8
20250808;	113344;	1754633024.000;	        err8;	        err8
20250808;	113348;	1754633028.000;	        err8;	        err8
20250808;	113352;	1754633032.000;	        err8;	        err8
20250808;	113356;	1754633036.000;	        err8;	        err8
20250808;	113400;	1754633040.000;	        err8;	        err8
20250808;	113404;	1754633044.000;	        err8;	        err8
20250808;	113408;	1754633048.000;	        err8;	        err8
20250808;	113412;	1754633052.000;	        err8;	        err8
20250808;	113416;	1754633056.000;	        err8;	        err8
20250808;	113420;	1754633060.000;	        err8;	        err8
20250808;	113424;	1754633064.000;	        err8;	        err8
20250808;	113428;	1754633068.000;	        err8;	        err8
20250808;	113432;	1754633072.000;	        err8;	        err8
20250808;	113436;	1754633076.000;	        err8;	        err8
