#ies_format_version: 1.0
#file: 20250806_4000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 4.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	holding1;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
#005;	holding2;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
YYYYMMDD;	hhmmss;	unixtimestamp;	holding1;	holding2
20250806;	175636;	1754483196.000;	        err8;	        err8
20250806;	175640;	1754483200.000;	        err8;	        err8
20250806;	175644;	1754483204.000;	        err8;	        err8
20250806;	175648;	1754483208.000;	        err8;	        err8
20250806;	175652;	1754483212.000;	        err8;	        err8
20250806;	175656;	1754483216.000;	        err8;	        err8
20250806;	175700;	1754483220.000;	        err8;	        err8
20250806;	175704;	1754483224.000;	        err8;	        err8
20250806;	175708;	1754483228.000;	        err8;	        err8
20250806;	175712;	1754483232.000;	        err8;	        err8
20250806;	175716;	1754483236.000;	        err8;	        err8
20250806;	175720;	1754483240.000;	        err8;	        err8
20250806;	175724;	1754483244.000;	        err8;	        err8
20250806;	175728;	1754483248.000;	        err8;	        err8
20250806;	175732;	1754483252.000;	        err8;	        err8
20250806;	175736;	1754483256.000;	        err8;	        err8
20250806;	175740;	1754483260.000;	        err8;	        err8
20250806;	175744;	1754483264.000;	        err8;	        err8
20250806;	175748;	1754483268.000;	        err8;	        err8
20250806;	175752;	1754483272.000;	        err8;	        err8
20250806;	175756;	1754483276.000;	        err8;	        err8
20250806;	175800;	1754483280.000;	        err8;	        err8
20250806;	175804;	1754483284.000;	        err8;	        err8
20250806;	175808;	1754483288.000;	        err8;	        err8
20250806;	175812;	1754483292.000;	        err8;	        err8
20250806;	175816;	1754483296.000;	        err8;	        err8
20250806;	175820;	1754483300.000;	        err8;	        err8
20250806;	175824;	1754483304.000;	        err8;	        err8
20250806;	175828;	1754483308.000;	        err8;	        err8
20250806;	175832;	1754483312.000;	        err8;	        err8
20250806;	175836;	1754483316.000;	        err8;	        err8
20250806;	175840;	1754483320.000;	        err8;	        err8
20250806;	175844;	1754483324.000;	        err8;	        err8
20250806;	175848;	1754483328.000;	        err8;	        err8
20250806;	175852;	1754483332.000;	        err8;	        err8
20250806;	175856;	1754483336.000;	        err8;	        err8
20250806;	175900;	1754483340.000;	        err8;	        err8
20250806;	175904;	1754483344.000;	        err8;	        err8
20250806;	175908;	1754483348.000;	        err8;	        err8
20250806;	175912;	1754483352.000;	        err8;	        err8
20250806;	175916;	1754483356.000;	        err8;	        err8
20250806;	175920;	1754483360.000;	        err8;	        err8
20250806;	175924;	1754483364.000;	        err8;	        err8
20250806;	175928;	1754483368.000;	        err8;	        err8
20250806;	175932;	1754483372.000;	        err8;	        err8
20250806;	175936;	1754483376.000;	        err8;	        err8
20250806;	175940;	1754483380.000;	        err8;	        err8
20250806;	175944;	1754483384.000;	        err8;	        err8
20250806;	175948;	1754483388.000;	        err8;	        err8
20250806;	175952;	1754483392.000;	        err8;	        err8
20250806;	175956;	1754483396.000;	        err8;	        err8
20250806;	180000;	1754483400.000;	        err8;	        err8
20250806;	180004;	1754483404.000;	        err8;	        err8
20250806;	180008;	1754483408.000;	        err8;	        err8
20250806;	180012;	1754483412.000;	        err8;	        err8
20250806;	180016;	1754483416.000;	        err8;	        err8
20250806;	180020;	1754483420.000;	        err8;	        err8
