#ies_format_version: 1.0
#file: 20250809_4000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 4.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	holding1;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
#005;	holding2;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
YYYYMMDD;	hhmmss;	unixtimestamp;	holding1;	holding2
20250809;	104956;	1754716796.000;	        err8;	        err8
20250809;	105000;	1754716800.000;	        err8;	        err8
20250809;	105004;	1754716804.000;	        err8;	        err8
20250809;	105008;	1754716808.000;	        err8;	        err8
20250809;	105012;	1754716812.000;	        err8;	        err8
20250809;	105016;	1754716816.000;	        err8;	        err8
20250809;	105020;	1754716820.000;	        err8;	        err8
20250809;	105024;	1754716824.000;	        err8;	        err8
20250809;	105028;	1754716828.000;	        err8;	        err8
20250809;	105032;	1754716832.000;	        err8;	        err8
20250809;	105036;	1754716836.000;	        err8;	        err8
20250809;	105040;	1754716840.000;	        err8;	        err8
20250809;	105044;	1754716844.000;	        err8;	        err8
20250809;	105048;	1754716848.000;	        err8;	        err8
20250809;	105052;	1754716852.000;	        err8;	        err8
20250809;	105056;	1754716856.000;	        err8;	        err8
20250809;	105100;	1754716860.000;	        err8;	        err8
20250809;	105104;	1754716864.000;	        err8;	        err8
20250809;	105108;	1754716868.000;	        err8;	        err8
20250809;	105112;	1754716872.000;	        err8;	        err8
20250809;	105116;	1754716876.000;	        err8;	        err8
20250809;	105120;	1754716880.000;	        err8;	        err8
20250809;	105124;	1754716884.000;	        err8;	        err8
20250809;	105128;	1754716888.000;	        err8;	        err8
20250809;	105132;	1754716892.000;	        err8;	        err8
20250809;	105136;	1754716896.000;	        err8;	        err8
20250809;	105140;	1754716900.000;	        err8;	        err8
20250809;	105144;	1754716904.000;	        err8;	        err8
20250809;	105148;	1754716908.000;	        err8;	        err8
20250809;	105152;	1754716912.000;	        err8;	        err8
20250809;	105156;	1754716916.000;	        err8;	        err8
20250809;	105200;	1754716920.000;	        err8;	        err8
20250809;	105204;	1754716924.000;	        err8;	        err8
20250809;	105208;	1754716928.000;	        err8;	        err8
20250809;	105212;	1754716932.000;	        err8;	        err8
20250809;	105216;	1754716936.000;	        err8;	        err8
20250809;	105220;	1754716940.000;	        err8;	        err8
20250809;	105224;	1754716944.000;	        err8;	        err8
20250809;	105228;	1754716948.000;	        err8;	        err8
20250809;	105232;	1754716952.000;	        err8;	        err8
