#ies_format_version: 1.0
#file: 20250811_4000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 4.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	holding1;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
#005;	holding2;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
YYYYMMDD;	hhmmss;	unixtimestamp;	holding1;	holding2
20250811;	101052;	1754887252.000;	       err32;	       err32
20250811;	101056;	1754887256.000;	       err32;	       err32
20250811;	101100;	1754887260.000;	       err32;	       err32
20250811;	101104;	1754887264.000;	       err32;	       err32
20250811;	101108;	1754887268.000;	       err32;	       err32
20250811;	101112;	1754887272.000;	       err32;	       err32
20250811;	101116;	1754887276.000;	       err32;	       err32
20250811;	101120;	1754887280.000;	       err32;	       err32
20250811;	101124;	1754887284.000;	       err32;	       err32
20250811;	101128;	1754887288.000;	       err32;	       err32
20250811;	101132;	1754887292.000;	       err32;	       err32
20250811;	101136;	1754887296.000;	       err32;	       err32
20250811;	101140;	1754887300.000;	       err32;	       err32
20250811;	101144;	1754887304.000;	       err32;	       err32
20250811;	101148;	1754887308.000;	       err32;	       err32
20250811;	101152;	1754887312.000;	       err32;	       err32
20250811;	101156;	1754887316.000;	       err32;	       err32
20250811;	101200;	1754887320.000;	       err32;	       err32
20250811;	101204;	1754887324.000;	       err32;	       err32
20250811;	101208;	1754887328.000;	       err32;	       err32
20250811;	101212;	1754887332.000;	       err32;	       err32
20250811;	101216;	1754887336.000;	       err32;	       err32
20250811;	101220;	1754887340.000;	       err32;	       err32
20250811;	101224;	1754887344.000;	       err32;	       err32
20250811;	101228;	1754887348.000;	       err32;	       err32
20250811;	101232;	1754887352.000;	       err32;	       err32
20250811;	101236;	1754887356.000;	       err32;	       err32
20250811;	101240;	1754887360.000;	       err32;	       err32
20250811;	101244;	1754887364.000;	        err8;	        err8
20250811;	101248;	1754887368.000;	        err8;	        err8
20250811;	101252;	1754887372.000;	        err8;	        err8
20250811;	101256;	1754887376.000;	        err8;	        err8
20250811;	101300;	1754887380.000;	        err8;	        err8
20250811;	101304;	1754887384.000;	        err8;	        err8
20250811;	101308;	1754887388.000;	        err8;	        err8
20250811;	101312;	1754887392.000;	        err8;	        err8
20250811;	101316;	1754887396.000;	        err8;	        err8
20250811;	101320;	1754887400.000;	        err8;	        err8
20250811;	101324;	1754887404.000;	        err8;	        err8
20250811;	101328;	1754887408.000;	        err8;	        err8
20250811;	101332;	1754887412.000;	        err8;	        err8
20250811;	101336;	1754887416.000;	        err8;	        err8
20250811;	101340;	1754887420.000;	        err8;	        err8
20250811;	101344;	1754887424.000;	        err8;	        err8
20250811;	101348;	1754887428.000;	        err8;	        err8
20250811;	101352;	1754887432.000;	        err8;	        err8
20250811;	101356;	1754887436.000;	        err8;	        err8
20250811;	101400;	1754887440.000;	        err8;	        err8
20250811;	101404;	1754887444.000;	        err8;	        err8
20250811;	101408;	1754887448.000;	        err8;	        err8
20250811;	101412;	1754887452.000;	        err8;	        err8
20250811;	101416;	1754887456.000;	        err8;	        err8
20250811;	101420;	1754887460.000;	        err8;	        err8
20250811;	101424;	1754887464.000;	        err8;	        err8
20250811;	101428;	1754887468.000;	        err8;	        err8
20250811;	101432;	1754887472.000;	        err8;	        err8
20250811;	101436;	1754887476.000;	        err8;	        err8
20250811;	101440;	1754887480.000;	        err8;	        err8
20250811;	101444;	1754887484.000;	        err8;	        err8
20250811;	101448;	1754887488.000;	        err8;	        err8
20250811;	101452;	1754887492.000;	        err8;	        err8
20250811;	101456;	1754887496.000;	        err8;	        err8
20250811;	101500;	1754887500.000;	        err8;	        err8
20250811;	101504;	1754887504.000;	        err8;	        err8
20250811;	101508;	1754887508.000;	        err8;	        err8
20250811;	101512;	1754887512.000;	        err8;	        err8
20250811;	101516;	1754887516.000;	        err8;	        err8
20250811;	101520;	1754887520.000;	        err8;	        err8
20250811;	101524;	1754887524.000;	        err8;	        err8
20250811;	101528;	1754887528.000;	        err8;	        err8
20250811;	101532;	1754887532.000;	        err8;	        err8
20250811;	101536;	1754887536.000;	        err8;	        err8
20250811;	101540;	1754887540.000;	        err8;	        err8
20250811;	101544;	1754887544.000;	        err8;	        err8
20250811;	101548;	1754887548.000;	        err8;	        err8
20250811;	101552;	1754887552.000;	        err8;	        err8
20250811;	101556;	1754887556.000;	       err32;	       err32
20250811;	101600;	1754887560.000;	       err32;	       err32
20250811;	101604;	1754887564.000;	       err32;	       err32
20250811;	101608;	1754887568.000;	       err32;	       err32
20250811;	101612;	1754887572.000;	       err32;	       err32
20250811;	101616;	1754887576.000;	       err32;	       err32
20250811;	101620;	1754887580.000;	       err32;	       err32
20250811;	101624;	1754887584.000;	       err32;	       err32
20250811;	101628;	1754887588.000;	       err32;	       err32
20250811;	101632;	1754887592.000;	       err32;	       err32
20250811;	101636;	1754887596.000;	       err32;	       err32
20250811;	101640;	1754887600.000;	       err32;	       err32
20250811;	101644;	1754887604.000;	       err32;	       err32
20250811;	101648;	1754887608.000;	       err32;	       err32
20250811;	101652;	1754887612.000;	       err32;	       err32
20250811;	101656;	1754887616.000;	       err32;	       err32
20250811;	101700;	1754887620.000;	       err32;	       err32
20250811;	101704;	1754887624.000;	       err32;	       err32
20250811;	101708;	1754887628.000;	       err32;	       err32
20250811;	101712;	1754887632.000;	       err32;	       err32
20250811;	101716;	1754887636.000;	       err32;	       err32
20250811;	101720;	1754887640.000;	       err32;	       err32
20250811;	101724;	1754887644.000;	       err32;	       err32
20250811;	101728;	1754887648.000;	       err32;	       err32
20250811;	101732;	1754887652.000;	       err32;	       err32
20250811;	101736;	1754887656.000;	       err32;	       err32
20250811;	101740;	1754887660.000;	       err32;	       err32
20250811;	101744;	1754887664.000;	       err32;	       err32
20250811;	101748;	1754887668.000;	       err32;	       err32
20250811;	101752;	1754887672.000;	       err32;	       err32
20250811;	101756;	1754887676.000;	       err32;	       err32
20250811;	101800;	1754887680.000;	       err32;	       err32
20250811;	101804;	1754887684.000;	       err32;	       err32
20250811;	101808;	1754887688.000;	       err32;	       err32
20250811;	101812;	1754887692.000;	       err32;	       err32
20250811;	101816;	1754887696.000;	       err32;	       err32
20250811;	101820;	1754887700.000;	       err32;	       err32
20250811;	101824;	1754887704.000;	       err32;	       err32
20250811;	101828;	1754887708.000;	       err32;	       err32
20250811;	101832;	1754887712.000;	       err32;	       err32
20250811;	101836;	1754887716.000;	       err32;	       err32
20250811;	101840;	1754887720.000;	       err32;	       err32
20250811;	101844;	1754887724.000;	       err32;	       err32
20250811;	101848;	1754887728.000;	       err32;	       err32
20250811;	101852;	1754887732.000;	       err32;	       err32
20250811;	101856;	1754887736.000;	       err32;	       err32
20250811;	101900;	1754887740.000;	       err32;	       err32
20250811;	101904;	1754887744.000;	       err32;	       err32
20250811;	101908;	1754887748.000;	       err32;	       err32
20250811;	101912;	1754887752.000;	       err32;	       err32
20250811;	101916;	1754887756.000;	       err32;	       err32
20250811;	101920;	1754887760.000;	       err32;	       err32
20250811;	101924;	1754887764.000;	       err32;	       err32
20250811;	101928;	1754887768.000;	       err32;	       err32
20250811;	101932;	1754887772.000;	       err32;	       err32
20250811;	101936;	1754887776.000;	       err32;	       err32
20250811;	101940;	1754887780.000;	       err32;	       err32
20250811;	101944;	1754887784.000;	       err32;	       err32
20250811;	101948;	1754887788.000;	       err32;	       err32
20250811;	101952;	1754887792.000;	       err32;	       err32
20250811;	101956;	1754887796.000;	       err32;	       err32
20250811;	102000;	1754887800.000;	       err32;	       err32
20250811;	102004;	1754887804.000;	       err32;	       err32
20250811;	102008;	1754887808.000;	       err32;	       err32
20250811;	102012;	1754887812.000;	       err32;	       err32
20250811;	102016;	1754887816.000;	       err32;	       err32
20250811;	102020;	1754887820.000;	       err32;	       err32
20250811;	102024;	1754887824.000;	       err32;	       err32
20250811;	102028;	1754887828.000;	       err32;	       err32
20250811;	102032;	1754887832.000;	       err32;	       err32
20250811;	102036;	1754887836.000;	       err32;	       err32
20250811;	102040;	1754887840.000;	       err32;	       err32
20250811;	102044;	1754887844.000;	       err32;	       err32
20250811;	102048;	1754887848.000;	       err32;	       err32
20250811;	102052;	1754887852.000;	       err32;	       err32
20250811;	102056;	1754887856.000;	       err32;	       err32
20250811;	102100;	1754887860.000;	       err32;	       err32
20250811;	102104;	1754887864.000;	       err32;	       err32
20250811;	102108;	1754887868.000;	       err32;	       err32
20250811;	102112;	1754887872.000;	       err32;	       err32
20250811;	102116;	1754887876.000;	       err32;	       err32
20250811;	102120;	1754887880.000;	       err32;	       err32
20250811;	102124;	1754887884.000;	       err32;	       err32
20250811;	102128;	1754887888.000;	       err32;	       err32
20250811;	102132;	1754887892.000;	       err32;	       err32
20250811;	102136;	1754887896.000;	       err32;	       err32
20250811;	102140;	1754887900.000;	       err32;	       err32
20250811;	102144;	1754887904.000;	       err32;	       err32
20250811;	102148;	1754887908.000;	       err32;	       err32
20250811;	102152;	1754887912.000;	       err32;	       err32
20250811;	102156;	1754887916.000;	       err32;	       err32
20250811;	102200;	1754887920.000;	       err32;	       err32
20250811;	102204;	1754887924.000;	       err32;	       err32
20250811;	102208;	1754887928.000;	       err32;	       err32
20250811;	102212;	1754887932.000;	       err32;	       err32
20250811;	102216;	1754887936.000;	       err32;	       err32
20250811;	102220;	1754887940.000;	       err32;	       err32
20250811;	102224;	1754887944.000;	       err32;	       err32
20250811;	102228;	1754887948.000;	       err32;	       err32
20250811;	102232;	1754887952.000;	       err32;	       err32
20250811;	102236;	1754887956.000;	       err32;	       err32
20250811;	102240;	1754887960.000;	       err32;	       err32
20250811;	102244;	1754887964.000;	       err32;	       err32
20250811;	102248;	1754887968.000;	       err32;	       err32
20250811;	102252;	1754887972.000;	       err32;	       err32
20250811;	102256;	1754887976.000;	       err32;	       err32
20250811;	102300;	1754887980.000;	       err32;	       err32
20250811;	102304;	1754887984.000;	       err32;	       err32
20250811;	102308;	1754887988.000;	       err32;	       err32
20250811;	102312;	1754887992.000;	       err32;	       err32
20250811;	102316;	1754887996.000;	       err32;	       err32
20250811;	102320;	1754888000.000;	       err32;	       err32
20250811;	102324;	1754888004.000;	       err32;	       err32
20250811;	102328;	1754888008.000;	       err32;	       err32
20250811;	102332;	1754888012.000;	       err32;	       err32
20250811;	102336;	1754888016.000;	       err32;	       err32
20250811;	102340;	1754888020.000;	       err32;	       err32
20250811;	102344;	1754888024.000;	       err32;	       err32
20250811;	102348;	1754888028.000;	       err32;	       err32
20250811;	102352;	1754888032.000;	       err32;	       err32
20250811;	102356;	1754888036.000;	       err32;	       err32
20250811;	102400;	1754888040.000;	       err32;	       err32
20250811;	102404;	1754888044.000;	       err32;	       err32
20250811;	102408;	1754888048.000;	       err32;	       err32
20250811;	102412;	1754888052.000;	       err32;	       err32
20250811;	102416;	1754888056.000;	       err32;	       err32
20250811;	102420;	1754888060.000;	       err32;	       err32
20250811;	102424;	1754888064.000;	       err32;	       err32
20250811;	102428;	1754888068.000;	       err32;	       err32
20250811;	102432;	1754888072.000;	       err32;	       err32
20250811;	102436;	1754888076.000;	       err32;	       err32
20250811;	102440;	1754888080.000;	       err32;	       err32
20250811;	102444;	1754888084.000;	       err32;	       err32
20250811;	102448;	1754888088.000;	       err32;	       err32
20250811;	102452;	1754888092.000;	       err32;	       err32
20250811;	102456;	1754888096.000;	       err32;	       err32
20250811;	102500;	1754888100.000;	       err32;	       err32
20250811;	102504;	1754888104.000;	       err32;	       err32
20250811;	102508;	1754888108.000;	       err32;	       err32
20250811;	102512;	1754888112.000;	       err32;	       err32
