#ies_format_version: 1.0
#file: 20250811_4000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 4.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	holding1;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
#005;	holding2;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
YYYYMMDD;	hhmmss;	unixtimestamp;	holding1;	holding2
20250811;	095116;	1754886076.000;	        err8;	        err8
20250811;	095120;	1754886080.000;	        err8;	        err8
20250811;	095124;	1754886084.000;	        err8;	        err8
20250811;	095128;	1754886088.000;	        err8;	        err8
20250811;	095132;	1754886092.000;	        err8;	        err8
20250811;	095136;	1754886096.000;	        err8;	        err8
20250811;	095140;	1754886100.000;	        err8;	        err8
20250811;	095144;	1754886104.000;	        err8;	        err8
20250811;	095148;	1754886108.000;	        err8;	        err8
20250811;	095152;	1754886112.000;	        err8;	        err8
20250811;	095156;	1754886116.000;	        err8;	        err8
20250811;	095200;	1754886120.000;	        err8;	        err8
20250811;	095204;	1754886124.000;	        err8;	        err8
20250811;	095208;	1754886128.000;	        err8;	        err8
20250811;	095212;	1754886132.000;	        err8;	        err8
20250811;	095216;	1754886136.000;	        err8;	        err8
20250811;	095220;	1754886140.000;	        err8;	        err8
20250811;	095224;	1754886144.000;	        err8;	        err8
20250811;	095228;	1754886148.000;	        err8;	        err8
20250811;	095232;	1754886152.000;	        err8;	        err8
20250811;	095236;	1754886156.000;	        err8;	        err8
20250811;	095240;	1754886160.000;	        err8;	        err8
20250811;	095244;	1754886164.000;	        err8;	        err8
20250811;	095248;	1754886168.000;	        err8;	        err8
20250811;	095252;	1754886172.000;	        err8;	        err8
20250811;	095256;	1754886176.000;	        err8;	        err8
20250811;	095300;	1754886180.000;	        err8;	        err8
20250811;	095304;	1754886184.000;	        err8;	        err8
20250811;	095308;	1754886188.000;	        err8;	        err8
20250811;	095312;	1754886192.000;	        err8;	        err8
20250811;	095316;	1754886196.000;	        err8;	        err8
20250811;	095320;	1754886200.000;	        err8;	        err8
20250811;	095324;	1754886204.000;	        err8;	        err8
20250811;	095328;	1754886208.000;	        err8;	        err8
20250811;	095332;	1754886212.000;	        err8;	        err8
20250811;	095336;	1754886216.000;	        err8;	        err8
20250811;	095340;	1754886220.000;	        err8;	        err8
20250811;	095344;	1754886224.000;	        err8;	        err8
20250811;	095348;	1754886228.000;	        err8;	        err8
20250811;	095352;	1754886232.000;	        err8;	        err8
20250811;	095356;	1754886236.000;	        err8;	        err8
20250811;	095400;	1754886240.000;	        err8;	        err8
20250811;	095404;	1754886244.000;	        err8;	        err8
20250811;	095408;	1754886248.000;	        err8;	        err8
20250811;	095412;	1754886252.000;	        err8;	        err8
20250811;	095416;	1754886256.000;	        err8;	        err8
20250811;	095420;	1754886260.000;	        err8;	        err8
20250811;	095424;	1754886264.000;	        err8;	        err8
20250811;	095428;	1754886268.000;	        err8;	        err8
20250811;	095432;	1754886272.000;	        err8;	        err8
20250811;	095436;	1754886276.000;	        err8;	        err8
20250811;	095440;	1754886280.000;	        err8;	        err8
20250811;	095444;	1754886284.000;	        err8;	        err8
20250811;	095448;	1754886288.000;	        err8;	        err8
20250811;	095452;	1754886292.000;	        err8;	        err8
20250811;	095456;	1754886296.000;	        err8;	        err8
20250811;	095500;	1754886300.000;	        err8;	        err8
20250811;	095504;	1754886304.000;	        err8;	        err8
20250811;	095508;	1754886308.000;	        err8;	        err8
20250811;	095512;	1754886312.000;	        err8;	        err8
20250811;	095516;	1754886316.000;	        err8;	        err8
20250811;	095520;	1754886320.000;	        err8;	        err8
20250811;	095524;	1754886324.000;	        err8;	        err8
20250811;	095528;	1754886328.000;	        err8;	        err8
20250811;	095532;	1754886332.000;	        err8;	        err8
20250811;	095536;	1754886336.000;	        err8;	        err8
20250811;	095540;	1754886340.000;	        err8;	        err8
20250811;	095544;	1754886344.000;	        err8;	        err8
20250811;	095548;	1754886348.000;	        err8;	        err8
20250811;	095552;	1754886352.000;	        err8;	        err8
20250811;	095556;	1754886356.000;	        err8;	        err8
20250811;	095600;	1754886360.000;	        err8;	        err8
20250811;	095604;	1754886364.000;	        err8;	        err8
20250811;	095608;	1754886368.000;	        err8;	        err8
20250811;	095612;	1754886372.000;	        err8;	        err8
20250811;	095616;	1754886376.000;	        err8;	        err8
20250811;	095620;	1754886380.000;	        err8;	        err8
20250811;	095624;	1754886384.000;	        err8;	        err8
20250811;	095628;	1754886388.000;	        err8;	        err8
20250811;	095632;	1754886392.000;	        err8;	        err8
20250811;	095636;	1754886396.000;	        err8;	        err8
20250811;	095640;	1754886400.000;	        err8;	        err8
20250811;	095644;	1754886404.000;	        err8;	        err8
20250811;	095648;	1754886408.000;	        err8;	        err8
20250811;	095652;	1754886412.000;	        err8;	        err8
20250811;	095656;	1754886416.000;	        err8;	        err8
20250811;	095700;	1754886420.000;	        err8;	        err8
20250811;	095704;	1754886424.000;	        err8;	        err8
20250811;	095708;	1754886428.000;	        err8;	        err8
20250811;	095712;	1754886432.000;	       err32;	       err32
20250811;	095716;	1754886436.000;	       err32;	       err32
20250811;	095720;	1754886440.000;	       err32;	       err32
20250811;	095724;	1754886444.000;	       err32;	       err32
20250811;	095728;	1754886448.000;	       err32;	       err32
20250811;	095732;	1754886452.000;	       err32;	       err32
20250811;	095736;	1754886456.000;	       err32;	       err32
20250811;	095740;	1754886460.000;	       err32;	       err32
20250811;	095744;	1754886464.000;	       err32;	       err32
20250811;	095748;	1754886468.000;	       err32;	       err32
20250811;	095752;	1754886472.000;	       err32;	       err32
20250811;	095756;	1754886476.000;	       err32;	       err32
20250811;	095800;	1754886480.000;	       err32;	       err32
20250811;	095804;	1754886484.000;	       err32;	       err32
20250811;	095808;	1754886488.000;	       err32;	       err32
20250811;	095812;	1754886492.000;	       err32;	       err32
20250811;	095816;	1754886496.000;	       err32;	       err32
20250811;	095820;	1754886500.000;	       err32;	       err32
20250811;	095824;	1754886504.000;	       err32;	       err32
20250811;	095828;	1754886508.000;	       err32;	       err32
20250811;	095832;	1754886512.000;	       err32;	       err32
20250811;	095836;	1754886516.000;	       err32;	       err32
20250811;	095840;	1754886520.000;	       err32;	       err32
20250811;	095844;	1754886524.000;	       err32;	       err32
20250811;	095848;	1754886528.000;	       err32;	       err32
20250811;	095852;	1754886532.000;	       err32;	       err32
20250811;	095856;	1754886536.000;	       err32;	       err32
20250811;	095900;	1754886540.000;	       err32;	       err32
20250811;	095904;	1754886544.000;	       err32;	       err32
20250811;	095908;	1754886548.000;	       err32;	       err32
20250811;	095912;	1754886552.000;	       err32;	       err32
20250811;	095916;	1754886556.000;	       err32;	       err32
20250811;	095920;	1754886560.000;	       err32;	       err32
20250811;	095924;	1754886564.000;	       err32;	       err32
20250811;	095928;	1754886568.000;	       err32;	       err32
20250811;	095932;	1754886572.000;	       err32;	       err32
20250811;	095936;	1754886576.000;	       err32;	       err32
20250811;	095940;	1754886580.000;	       err32;	       err32
20250811;	095944;	1754886584.000;	       err32;	       err32
20250811;	095948;	1754886588.000;	       err32;	       err32
20250811;	095952;	1754886592.000;	       err32;	       err32
20250811;	095956;	1754886596.000;	       err32;	       err32
20250811;	100000;	1754886600.000;	       err32;	       err32
20250811;	100004;	1754886604.000;	       err32;	       err32
20250811;	100008;	1754886608.000;	       err32;	       err32
20250811;	100012;	1754886612.000;	       err32;	       err32
20250811;	100016;	1754886616.000;	       err32;	       err32
20250811;	100020;	1754886620.000;	       err32;	       err32
20250811;	100024;	1754886624.000;	       err32;	       err32
20250811;	100028;	1754886628.000;	       err32;	       err32
20250811;	100032;	1754886632.000;	       err32;	       err32
20250811;	100036;	1754886636.000;	       err32;	       err32
20250811;	100040;	1754886640.000;	       err32;	       err32
20250811;	100044;	1754886644.000;	       err32;	       err32
20250811;	100048;	1754886648.000;	       err32;	       err32
20250811;	100052;	1754886652.000;	       err32;	       err32
20250811;	100056;	1754886656.000;	       err32;	       err32
20250811;	100100;	1754886660.000;	       err32;	       err32
20250811;	100104;	1754886664.000;	       err32;	       err32
20250811;	100108;	1754886668.000;	       err32;	       err32
20250811;	100112;	1754886672.000;	       err32;	       err32
20250811;	100116;	1754886676.000;	       err32;	       err32
20250811;	100120;	1754886680.000;	       err32;	       err32
20250811;	100124;	1754886684.000;	       err32;	       err32
20250811;	100128;	1754886688.000;	       err32;	       err32
20250811;	100132;	1754886692.000;	       err32;	       err32
20250811;	100136;	1754886696.000;	       err32;	       err32
20250811;	100140;	1754886700.000;	       err32;	       err32
20250811;	100144;	1754886704.000;	       err32;	       err32
20250811;	100148;	1754886708.000;	       err32;	       err32
20250811;	100152;	1754886712.000;	       err32;	       err32
20250811;	100156;	1754886716.000;	       err32;	       err32
20250811;	100200;	1754886720.000;	       err32;	       err32
20250811;	100204;	1754886724.000;	       err32;	       err32
20250811;	100208;	1754886728.000;	       err32;	       err32
20250811;	100212;	1754886732.000;	       err32;	       err32
20250811;	100216;	1754886736.000;	       err32;	       err32
20250811;	100220;	1754886740.000;	       err32;	       err32
20250811;	100224;	1754886744.000;	       err32;	       err32
20250811;	100228;	1754886748.000;	       err32;	       err32
20250811;	100232;	1754886752.000;	       err32;	       err32
20250811;	100236;	1754886756.000;	       err32;	       err32
20250811;	100240;	1754886760.000;	       err32;	       err32
20250811;	100244;	1754886764.000;	       err32;	       err32
20250811;	100248;	1754886768.000;	       err32;	       err32
20250811;	100252;	1754886772.000;	       err32;	       err32
20250811;	100256;	1754886776.000;	       err32;	       err32
20250811;	100300;	1754886780.000;	       err32;	       err32
20250811;	100304;	1754886784.000;	       err32;	       err32
20250811;	100308;	1754886788.000;	       err32;	       err32
20250811;	100312;	1754886792.000;	       err32;	       err32
20250811;	100316;	1754886796.000;	       err32;	       err32
20250811;	100320;	1754886800.000;	       err32;	       err32
20250811;	100324;	1754886804.000;	       err32;	       err32
20250811;	100328;	1754886808.000;	       err32;	       err32
20250811;	100332;	1754886812.000;	       err32;	       err32
20250811;	100336;	1754886816.000;	       err32;	       err32
20250811;	100340;	1754886820.000;	       err32;	       err32
20250811;	100344;	1754886824.000;	       err32;	       err32
20250811;	100348;	1754886828.000;	       err32;	       err32
20250811;	100352;	1754886832.000;	       err32;	       err32
20250811;	100356;	1754886836.000;	       err32;	       err32
20250811;	100400;	1754886840.000;	       err32;	       err32
20250811;	100404;	1754886844.000;	       err32;	       err32
20250811;	100408;	1754886848.000;	       err32;	       err32
20250811;	100412;	1754886852.000;	       err32;	       err32
20250811;	100416;	1754886856.000;	       err32;	       err32
20250811;	100420;	1754886860.000;	       err32;	       err32
20250811;	100424;	1754886864.000;	       err32;	       err32
20250811;	100428;	1754886868.000;	       err32;	       err32
20250811;	100432;	1754886872.000;	       err32;	       err32
20250811;	100436;	1754886876.000;	       err32;	       err32
20250811;	100440;	1754886880.000;	       err32;	       err32
20250811;	100444;	1754886884.000;	       err32;	       err32
20250811;	100448;	1754886888.000;	       err32;	       err32
20250811;	100452;	1754886892.000;	       err32;	       err32
20250811;	100456;	1754886896.000;	       err32;	       err32
20250811;	100500;	1754886900.000;	       err32;	       err32
20250811;	100504;	1754886904.000;	       err32;	       err32
20250811;	100508;	1754886908.000;	       err32;	       err32
20250811;	100512;	1754886912.000;	       err32;	       err32
20250811;	100516;	1754886916.000;	       err32;	       err32
20250811;	100520;	1754886920.000;	       err32;	       err32
20250811;	100524;	1754886924.000;	       err32;	       err32
20250811;	100528;	1754886928.000;	       err32;	       err32
20250811;	100532;	1754886932.000;	       err32;	       err32
20250811;	100536;	1754886936.000;	       err32;	       err32
20250811;	100540;	1754886940.000;	       err32;	       err32
20250811;	100544;	1754886944.000;	       err32;	       err32
20250811;	100548;	1754886948.000;	       err32;	       err32
20250811;	100552;	1754886952.000;	       err32;	       err32
20250811;	100556;	1754886956.000;	       err32;	       err32
20250811;	100600;	1754886960.000;	       err32;	       err32
20250811;	100604;	1754886964.000;	       err32;	       err32
20250811;	100608;	1754886968.000;	       err32;	       err32
20250811;	100612;	1754886972.000;	       err32;	       err32
20250811;	100616;	1754886976.000;	       err32;	       err32
20250811;	100620;	1754886980.000;	       err32;	       err32
20250811;	100624;	1754886984.000;	       err32;	       err32
20250811;	100628;	1754886988.000;	       err32;	       err32
20250811;	100632;	1754886992.000;	       err32;	       err32
20250811;	100636;	1754886996.000;	       err32;	       err32
20250811;	100640;	1754887000.000;	       err32;	       err32
20250811;	100644;	1754887004.000;	       err32;	       err32
20250811;	100648;	1754887008.000;	       err32;	       err32
20250811;	100652;	1754887012.000;	       err32;	       err32
20250811;	100656;	1754887016.000;	       err32;	       err32
20250811;	100700;	1754887020.000;	       err32;	       err32
20250811;	100704;	1754887024.000;	       err32;	       err32
20250811;	100708;	1754887028.000;	       err32;	       err32
20250811;	100712;	1754887032.000;	       err32;	       err32
20250811;	100716;	1754887036.000;	       err32;	       err32
20250811;	100720;	1754887040.000;	        err8;	        err8
20250811;	100724;	1754887044.000;	        err8;	        err8
20250811;	100728;	1754887048.000;	        err8;	        err8
20250811;	100732;	1754887052.000;	        err8;	        err8
20250811;	100736;	1754887056.000;	        err8;	        err8
20250811;	100740;	1754887060.000;	        err8;	        err8
20250811;	100744;	1754887064.000;	        err8;	        err8
20250811;	100748;	1754887068.000;	        err8;	        err8
20250811;	100752;	1754887072.000;	        err8;	        err8
20250811;	100756;	1754887076.000;	        err8;	        err8
20250811;	100800;	1754887080.000;	        err8;	        err8
20250811;	100804;	1754887084.000;	        err8;	        err8
20250811;	100808;	1754887088.000;	        err8;	        err8
20250811;	100812;	1754887092.000;	        err8;	        err8
20250811;	100816;	1754887096.000;	        err8;	        err8
20250811;	100820;	1754887100.000;	        err8;	        err8
20250811;	100824;	1754887104.000;	        err8;	        err8
20250811;	100828;	1754887108.000;	        err8;	        err8
20250811;	100832;	1754887112.000;	        err8;	        err8
20250811;	100836;	1754887116.000;	        err8;	        err8
20250811;	100840;	1754887120.000;	        err8;	        err8
20250811;	100844;	1754887124.000;	        err8;	        err8
20250811;	100848;	1754887128.000;	        err8;	        err8
20250811;	100852;	1754887132.000;	        err8;	        err8
20250811;	100856;	1754887136.000;	        err8;	        err8
20250811;	100900;	1754887140.000;	        err8;	        err8
20250811;	100904;	1754887144.000;	        err8;	        err8
20250811;	100908;	1754887148.000;	        err8;	        err8
20250811;	100912;	1754887152.000;	        err8;	        err8
20250811;	100916;	1754887156.000;	        err8;	        err8
20250811;	100920;	1754887160.000;	        err8;	        err8
20250811;	100924;	1754887164.000;	        err8;	        err8
20250811;	100928;	1754887168.000;	        err8;	        err8
20250811;	100932;	1754887172.000;	        err8;	        err8
20250811;	100936;	1754887176.000;	        err8;	        err8
20250811;	100940;	1754887180.000;	        err8;	        err8
20250811;	100944;	1754887184.000;	        err8;	        err8
20250811;	100948;	1754887188.000;	        err8;	        err8
20250811;	100952;	1754887192.000;	        err8;	        err8
20250811;	100956;	1754887196.000;	        err8;	        err8
20250811;	101000;	1754887200.000;	        err8;	        err8
20250811;	101004;	1754887204.000;	        err8;	        err8
20250811;	101008;	1754887208.000;	        err8;	        err8
20250811;	101012;	1754887212.000;	        err8;	        err8
20250811;	101016;	1754887216.000;	        err8;	        err8
20250811;	101020;	1754887220.000;	        err8;	        err8
20250811;	101024;	1754887224.000;	        err8;	        err8
20250811;	101028;	1754887228.000;	        err8;	        err8
20250811;	101032;	1754887232.000;	       err32;	       err32
20250811;	101036;	1754887236.000;	       err32;	       err32
20250811;	101040;	1754887240.000;	       err32;	       err32
20250811;	101044;	1754887244.000;	       err32;	       err32
20250811;	101048;	1754887248.000;	       err32;	       err32
